"i.instagram.com","api URL",
"business.instagram.com","business",
"blog.business.instagram.com","business insta blog",
"hyperlapse.instagram.com","Create polished time lapse videos on your iPhone with Hyperlapse from Instagram.",
"developers.instagram.com","developers",
"z-p15.www.instagram.com","https://z-p15.www.instagram.com/pnarr_1_/",
"z-p42.www.instagram.com","https://z-p42.www.instagram.com/p/CB4oCXoHLcZ/",
"blog.instagram.com","insta blog",
"engineering.instagram.com","insta engineering",
"help.instagram.com","insta help",
"api.instagram.com","instagram api",
"distilleryimage0.ak.instagram.com","media CDN","https://www.addictivetips.com/web/how-to-embed-instagram-videos-in-any-web-page/"
"distilleryimage0.instagram.com","media CDN","https://itquaa.com/blog/86580.html"
"distilleryimage10.ak.instagram.com","media CDN",
"distilleryimage10.instagram.com","media CDN",
"distilleryimage11.ak.instagram.com","media CDN",
"distilleryimage11.instagram.com","media CDN",
"distilleryimage1.ak.instagram.com","media CDN",
"distilleryimage1.instagram.com","media CDN",
"distilleryimage2.ak.instagram.com","media CDN",
"distilleryimage2.instagram.com","media CDN",
"distilleryimage3.ak.instagram.com","media CDN",
"distilleryimage3.instagram.com","media CDN",
"distilleryimage4.ak.instagram.com","media CDN",
"distilleryimage4.instagram.com","media CDN",
"distilleryimage5.ak.instagram.com","media CDN",
"distilleryimage5.instagram.com","media CDN",
"distilleryimage6.ak.instagram.com","media CDN",
"distilleryimage6.instagram.com","media CDN",
"distilleryimage7.ak.instagram.com","media CDN",
"distilleryimage7.instagram.com","media CDN",
"distilleryimage8.ak.instagram.com","media CDN",
"distilleryimage8.instagram.com","media CDN",
"distilleryimage9.ak.instagram.com","media CDN",
"distilleryimage9.instagram.com","media CDN",
"distilleryvesper0-0.ak.instagram.com","media CDN",
"distilleryvesper0-12.ak.instagram.com","media CDN",
"distilleryvesper0-16.ak.instagram.com","media CDN",
"distilleryvesper0-4.ak.instagram.com","media CDN",
"distilleryvesper0-8.ak.instagram.com","media CDN",
"distilleryvesper10-10.ak.instagram.com","media CDN",
"distilleryvesper10-14.ak.instagram.com","media CDN",
"distilleryvesper10-18.ak.instagram.com","media CDN",
"distilleryvesper10-2.ak.instagram.com","media CDN",
"distilleryvesper10-6.ak.instagram.com","media CDN",
"distilleryvesper11-11.ak.instagram.com","media CDN",
"distilleryvesper11-15.ak.instagram.com","media CDN",
"distilleryvesper11-19.ak.instagram.com","media CDN",
"distilleryvesper1-13.ak.instagram.com","media CDN",
"distilleryvesper11-3.ak.instagram.com","media CDN",
"distilleryvesper1-17.ak.instagram.com","media CDN",
"distilleryvesper11-7.ak.instagram.com","media CDN",
"distilleryvesper1-1.ak.instagram.com","media CDN",
"distilleryvesper1-5.ak.instagram.com","media CDN",
"distilleryvesper2-10.ak.instagram.com","media CDN",
"distilleryvesper2-14.ak.instagram.com","media CDN",
"distilleryvesper2-18.ak.instagram.com","media CDN",
"distilleryvesper2-2.ak.instagram.com","media CDN",
"distilleryvesper2-6.ak.instagram.com","media CDN",
"distilleryvesper3-11.ak.instagram.com","media CDN",
"distilleryvesper3-15.ak.instagram.com","media CDN",
"distilleryvesper3-19.ak.instagram.com","media CDN",
"distilleryvesper3-3.ak.instagram.com","media CDN",
"distilleryvesper3-7.ak.instagram.com","media CDN",
"distilleryvesper4-0.ak.instagram.com","media CDN",
"distilleryvesper4-12.ak.instagram.com","media CDN",
"distilleryvesper4-16.ak.instagram.com","media CDN",
"distilleryvesper4-4.ak.instagram.com","media CDN",
"distilleryvesper4-8.ak.instagram.com","media CDN",
"distilleryvesper5-13.ak.instagram.com","media CDN",
"distilleryvesper5-17.ak.instagram.com","media CDN",
"distilleryvesper5-1.ak.instagram.com","media CDN",
"distilleryvesper6-10.ak.instagram.com","media CDN",
"distilleryvesper6-14.ak.instagram.com","media CDN",
"distilleryvesper6-18.ak.instagram.com","media CDN",
"distilleryvesper6-2.ak.instagram.com","media CDN",
"distilleryvesper6-6.ak.instagram.com","media CDN",
"distilleryvesper7-19.ak.instagram.com","media CDN",
"distilleryvesper7-3.ak.instagram.com","media CDN",
"distilleryvesper7-7.ak.instagram.com","media CDN",
"distilleryvesper8-0.ak.instagram.com","media CDN",
"distilleryvesper8-12.ak.instagram.com","media CDN",
"distilleryvesper8-16.ak.instagram.com","media CDN",
"distilleryvesper8-4.ak.instagram.com","media CDN",
"distilleryvesper8-8.ak.instagram.com","media CDN",
"distilleryvesper9-13.ak.instagram.com","media CDN",
"distilleryvesper9-17.ak.instagram.com","media CDN",
"distilleryvesper9-1.ak.instagram.com","media CDN",
"distilleryvesper9-5.ak.instagram.com","media CDN",
"images.ak.instagram.com","media CDN",
"images.instagram.com","media CDN",
"instagram.am","media CDN",
"instagram.biz","media CDN",
"instagram.by","media CDN",
"instagram.cl","media CDN",
"instagram.cm","media CDN",
"instagram.co","media CDN",
"instagram.com","media CDN",
"instagram.com.br","media CDN",
"instagram.com.my","media CDN",
"instagram.co.uk","media CDN",
"instagram.cz","media CDN",
"instagram.de","media CDN",
"instagram.es","media CDN",
"instagram.fr","media CDN",
"instagram.it","media CDN",
"instagram.me","media CDN",
"instagram.me.uk","media CDN",
"instagram.pl","media CDN",
"instagram.ru","media CDN",
"instagram.web.tr","media CDN",
"l.instagram.com","media CDN",
"maps.instagram.com","media CDN",
"m.instagram.com","media CDN",
"photos-a.ak.instagram.com","media CDN",
"photos-b.ak.instagram.com","media CDN",
"photos-c.ak.instagram.com","media CDN",
"photos-d.ak.instagram.com","media CDN",
"photos-e.ak.instagram.com","media CDN",
"photos-f.ak.instagram.com","media CDN",
"photos-g.ak.instagram.com","media CDN",
"photos-h.ak.instagram.com","media CDN",
"videos-a-0.ak.instagram.com","media CDN",
"videos-a-12.ak.instagram.com","media CDN",
