block_count,blocked_start,blocked_removed,diff.seconds
1,2022-03-07 12:34:21.120000,2022-03-07 14:34:22.781593,7201
2,2022-03-07 14:49:25.000028,2022-03-08 08:19:44.779000,63019
3,2022-03-08 08:24:45.202397,2022-03-08 13:24:49.203544,18004
4,2022-03-08 13:29:50.423999,2022-03-09 11:30:03.760828,79213
5,2022-03-09 11:35:04.881099,2022-03-09 21:35:10.864952,36005
6,2022-03-09 21:55:15.898616,2022-03-10 11:55:24.374398,50408
7,2022-03-10 12:00:24.881357,2022-03-11 21:00:43.616981,32418
8,2022-03-11 21:10:45.146008,2022-03-12 21:40:58.587246,1813
9,2022-03-12 21:45:59.124103,2022-03-13 00:16:01.769793,9002
10,2022-03-13 00:21:02.126463,2022-03-14 11:51:22.376688,41420
11,2022-03-14 11:56:22.763082,2022-03-14 21:56:29.162324,36006
12,2022-03-14 22:01:29.881607,2022-03-15 02:01:32.498525,14402
13,2022-03-15 02:06:33.717337,2022-03-15 02:36:34.328152,1800
14,2022-03-15 02:46:36.202174,2022-03-15 11:47:01.277900,32425
