block_count,blocked_start,blocked_removed,diff.seconds
1,2022-03-15 15:10:11.825395,2022-03-15 23:36:42.045464,30390
2,2022-03-15 23:51:44.113349,2022-03-18 00:04:18.098119,753
3,2022-03-18 00:09:18.600145,2022-03-19 00:26:01.343615,1002
4,2022-03-19 00:31:01.823543,2022-03-21 00:29:21.160100,86299
5,2022-03-21 00:34:21.853037,2022-03-22 23:58:22.323127,84240
6,2022-03-23 00:13:25.439223,2022-03-24 23:52:08.592941,85123
7,2022-03-25 00:07:10.546005,2022-03-26 17:13:49.676011,61599
8,2022-03-26 17:18:50.043386,2022-03-27 00:06:06.315996,24436
9,2022-03-27 00:16:08.488020,2022-03-28 23:47:53.786099,84705
10,2022-03-29 00:02:56.656304,2022-03-29 23:51:03.679100,85687
