block_count,blocked_start,blocked_removed,diff.seconds
1,2022-03-20 00:34:34.295500,2022-03-20 17:04:43.838502,59409
2,2022-03-20 17:14:44.811719,2022-03-20 19:44:46.408133,9001
3,2022-03-20 19:49:46.811485,2022-03-20 23:49:49.607790,14402
4,2022-03-20 23:59:51.290786,2022-03-21 08:59:56.329252,32405
5,2022-03-21 09:04:57.532831,2022-03-21 13:04:59.672459,14402
6,2022-03-21 13:10:00.252658,2022-03-21 15:40:02.231211,9001
7,2022-03-21 15:45:02.756828,2022-03-22 01:45:08.616686,36005
8,2022-03-22 01:50:09.389682,2022-03-22 20:20:19.447047,66610
9,2022-03-22 20:25:20.269131,2022-03-23 00:55:23.262154,16202
10,2022-03-23 01:00:24.173643,2022-03-23 14:00:32.258368,46808
11,2022-03-23 14:25:38.085611,2022-03-23 17:55:40.190534,12602
12,2022-03-23 18:00:41.004055,2022-03-24 00:00:45.364192,21604
13,2022-03-24 00:05:46.702610,2022-03-24 01:05:47.538444,3600
14,2022-03-24 01:15:49.971469,2022-03-24 07:15:53.375734,21603
