block_count,blocked_start,blocked_removed,diff.seconds
1,2022-03-09 07:13:35.079169,2022-03-09 12:43:38.348838,19803
2,2022-03-09 12:48:39.310216,2022-03-10 23:56:15.038112,40055
3,2022-03-11 00:01:15.893414,2022-03-13 00:49:26.152092,2890
4,2022-03-13 00:54:27.066297,2022-03-13 01:54:28.125564,3601
5,2022-03-13 03:04:29.990991,2022-03-17 16:36:42.545186,48732
6,2022-03-17 16:41:43.378366,2022-03-19 01:32:55.392295,31872
7,2022-03-19 01:42:57.894200,2022-03-23 15:08:12.769535,48314
8,2022-03-23 15:23:16.610997,2022-03-27 17:32:49.986802,7773
9,2022-03-27 17:37:50.349674,2022-03-28 15:47:44.413169,79794
10,2022-03-28 15:57:45.734791,2022-03-28 19:03:06.348550,11120
11,2022-03-28 19:13:08.118568,2022-03-28 22:29:37.562337,11789
12,2022-03-28 22:49:42.404691,2022-03-29 13:35:39.541041,53157
13,2022-03-29 13:45:43.214768,2022-03-29 15:55:12.940301,7769
14,2022-03-29 16:00:13.589050,2022-03-29 17:48:34.377667,6500
15,2022-03-29 17:53:35.483274,2022-03-30 15:00:56.588240,76041
