block_count,blocked_start,blocked_removed,diff.seconds
1,2022-03-06 17:59:59.038646,2022-03-06 18:59:59.590085,3600
2,2022-03-06 19:10:01.736752,2022-03-07 10:10:08.998902,54007
3,2022-03-07 10:15:10.158733,2022-03-07 11:15:11.016239,3600
4,2022-03-07 11:20:11.864916,2022-03-07 12:20:12.810406,3600
5,2022-03-07 12:35:29.941456,2022-03-07 21:35:35.030533,32405
6,2022-03-07 21:45:36.409565,2022-03-08 14:45:47.347369,61210
7,2022-03-08 14:50:47.623688,2022-03-08 20:20:50.782537,19803
8,2022-03-08 20:25:51.914320,2022-03-08 21:25:52.607145,3600
9,2022-03-08 21:30:53.300873,2022-03-08 22:00:54.153238,1800
10,2022-03-08 22:05:54.638734,2022-03-09 13:06:21.066921,54026
11,2022-03-09 13:11:21.341570,2022-03-09 16:41:23.510680,12602
12,2022-03-09 16:46:24.850124,2022-03-10 23:16:39.740204,23414
13,2022-03-10 23:21:40.928458,2022-03-11 18:51:52.154811,70211
14,2022-03-11 19:01:54.497237,2022-03-12 12:32:15.365348,63020
15,2022-03-12 12:52:26.448167,2022-03-12 13:52:27.868708,3601
