block_count,blocked_start,blocked_removed,diff.seconds
1,2022-03-12 17:05:06.239496,2022-03-12 20:05:08.108107,10801
2,2022-03-12 20:30:13.374503,2022-03-12 21:00:14.354010,1800
3,2022-03-12 21:05:15.505080,2022-03-13 00:35:17.358954,12601
4,2022-03-13 00:40:17.771437,2022-03-13 01:10:18.598466,1800
5,2022-03-13 01:15:19.010653,2022-03-13 01:45:20.152068,1801
6,2022-03-13 01:50:20.913972,2022-03-13 03:50:22.630560,7201
7,2022-03-13 03:55:23.546477,2022-03-13 10:55:27.545014,25203
8,2022-03-13 11:05:29.163691,2022-03-13 11:35:29.535324,1800
9,2022-03-13 11:45:31.917809,2022-03-14 08:45:44.971188,75613
10,2022-03-14 08:50:46.050518,2022-03-14 13:20:48.795595,16202
11,2022-03-14 13:35:51.988104,2022-03-14 14:35:53.018899,3601
12,2022-03-14 14:40:54.276126,2022-03-14 16:10:55.934616,5401
13,2022-03-14 16:25:58.940823,2022-03-14 19:26:00.790569,10801
14,2022-03-14 19:31:01.638521,2022-03-14 20:01:02.738490,1801
