block_count,blocked_start,blocked_removed,diff.seconds
1,2022-03-09 07:14:39.813296,2022-03-09 12:44:43.505242,19803
2,2022-03-09 12:49:44.300141,2022-03-10 09:50:29.204365,75644
3,2022-03-10 09:55:29.509459,2022-03-10 20:55:36.076002,39606
4,2022-03-10 21:00:37.290266,2022-03-11 00:00:39.267721,10801
5,2022-03-11 00:05:39.585986,2022-03-11 16:36:30.193445,59450
6,2022-03-12 22:04:41.459320,2022-03-14 19:08:20.934014,75819
7,2022-03-14 19:13:22.044507,2022-03-16 16:42:31.228230,77349
8,2022-03-16 16:52:35.300051,2022-03-17 16:22:49.102761,84613
9,2022-03-17 16:42:53.603495,2022-03-19 01:35:40.942749,31967
10,2022-03-19 01:40:41.263165,2022-03-23 15:16:38.012356,48956
11,2022-03-23 15:21:39.128334,2022-03-24 16:08:44.225350,2825
12,2022-03-24 16:13:44.580399,2022-03-27 01:06:31.102390,31966
13,2022-03-27 01:26:34.208732,2022-03-27 01:56:35.424565,1801
