block_count,blocked_start,blocked_removed,diff.seconds
1,2022-03-09 04:58:18.589512,2022-03-09 12:40:49.015040,27750
2,2022-03-09 12:50:52.379076,2022-03-10 14:16:50.626215,5158
3,2022-03-10 14:21:51.305556,2022-03-10 20:51:56.742052,23405
4,2022-03-10 20:56:57.552645,2022-03-10 23:57:00.059568,10802
5,2022-03-11 00:02:01.400706,2022-03-13 03:01:18.886583,10757
6,2022-03-13 03:06:19.521719,2022-03-13 09:06:26.036501,21606
7,2022-03-13 09:21:31.192565,2022-03-16 01:11:48.432591,57017
8,2022-03-16 01:21:50.149626,2022-03-21 22:12:10.061872,75019
9,2022-03-21 22:27:12.533086,2022-03-22 00:57:14.504689,9001
10,2022-03-22 01:12:17.385312,2022-03-22 02:13:11.201645,3653
11,2022-03-22 02:23:12.610207,2022-03-22 14:55:53.034554,45160
12,2022-03-22 15:00:54.312657,2022-03-22 15:30:55.646581,1801
