block_count,blocked_start,blocked_removed,diff.seconds
1,2022-03-09 05:23:00.847941,2022-03-10 14:10:28.628779,31647
2,2022-03-10 14:20:30.552481,2022-03-10 20:50:36.434027,23405
3,2022-03-10 21:00:38.084819,2022-03-12 21:56:42.237937,3364
4,2022-03-12 22:01:43.193278,2022-03-13 03:01:51.334889,18008
5,2022-03-13 03:06:51.794025,2022-03-13 09:06:57.050566,21605
6,2022-03-13 09:22:00.433860,2022-03-15 01:58:25.977938,59785
7,2022-03-15 02:03:26.960862,2022-03-15 03:03:27.793535,3600
8,2022-03-15 03:08:28.730117,2022-03-15 15:25:55.415891,44246
9,2022-03-15 15:45:59.711656,2022-03-16 01:16:53.802022,34254
10,2022-03-16 01:21:54.423778,2022-03-16 16:39:08.188530,55033
11,2022-03-16 16:49:10.719095,2022-03-17 01:19:17.985057,30607
12,2022-03-17 01:24:19.470851,2022-03-17 02:24:20.935488,3601
13,2022-03-17 02:34:22.620231,2022-03-18 15:49:20.226590,47697
14,2022-03-18 15:54:21.190826,2022-03-19 01:36:27.663253,34926
15,2022-03-19 01:41:28.999224,2022-03-21 17:16:55.502021,56126
