block_count,blocked_start,blocked_removed,diff.seconds
1,2022-03-09 05:51:06.953418,2022-03-10 14:06:52.805261,29745
2,2022-03-10 14:21:56.688562,2022-03-10 20:52:02.121848,23405
3,2022-03-10 20:57:02.735797,2022-03-10 23:57:04.859622,10802
4,2022-03-11 00:02:06.207350,2022-03-12 21:56:06.592059,78840
5,2022-03-12 22:06:08.090300,2022-03-13 00:36:10.803433,9002
6,2022-03-13 00:56:15.654965,2022-03-13 01:57:02.443457,3646
7,2022-03-13 03:02:03.046393,2022-03-17 02:27:39.540004,84336
8,2022-03-17 02:37:41.398594,2022-03-18 15:48:54.860414,47473
9,2022-03-18 15:58:56.960929,2022-03-19 14:40:43.913832,81706
10,2022-03-19 14:55:47.401436,2022-03-21 22:25:58.054495,27010
11,2022-03-21 22:30:59.203531,2022-03-22 01:01:01.015563,9001
12,2022-03-22 01:11:02.556332,2022-03-22 02:11:56.991616,3654
13,2022-03-22 02:22:04.120442,2022-03-22 14:55:51.642622,45227
